Item Code,Description,Price,Unit
PB263,"Box, 11.625 x7.5 x 4.375 RSC",0.433,ea
PL2839-65-B,"Label, AMZ Elements Men s 40+ One Daily ...",116.7,M
P401,.5 Gram Silica Desiccant Pieces,14.73,M
PC159,"Cap, 38mm RS BLK (H) Universal Lift & Pe...",47.56,M
PCR200,"Bottle, 200cc light amber Pet Packer 38-...",228.03,M
PL2838-65-A,"Label, AMZ Elements Men s One Daily WF M...",116.7,M
PF4205-10L,"Film, Hydralyte Plus Metabolic Health AK...",74.88,M
PB481,"Shipper, 15.5 x 11.5 x 15.5 RSC, 32C KR",1.769,EA
PC144,"Pallet, #1 Four Way 48"" x 40"" HT",6.0,EA
PB4205-30,"Carton, Hydralyte Plus Metabolic Health ...",921.6,M
PL2131,"1.5"" Clear Circle Adhesive (sticker)",20.0,M
PF4227-11L,"Film, Magna Hydration Island Punch 6.3g",29.4,M
PB451,"Shipper, 16 x 16 x 10 Corrugated Box R...",1.86,EA
CPB4227-28,"Consumer Box, Magna Hydration Island Pun...",0.0,M
CR5981,Bovine Collagen Peptides,0.0,kg
CR5982,Fish Collagen Peptides,0.0,kg
CR5983,Chicken Collagen Type II,0.0,kg
CR5985,Fermented L-Tryptophan 97.5%,0.0,kg
CR5984,Chicken Eggshell Membrane Instantized 85%,0.0,kg
CR5717,Niagen (Nicotinamide Riboside Chloride),0.0,kg
CR4283,Theracurmin CR-033,0.0,kg
PC079,Cap 70mm Black FS5-4 Foam/0.020 PS 1PC ...,177.04,M
PC4018-60-A,Bottle 8oz Amber Gl,997.08,M
P422,.5 Gram Silica Desiccant Rolls,16.5,M
PB067,19.50 x 14.50 x 7.75,2694.99,ea
CPL4017-10-A,"Label, Elemental Heal Chocolate Original...",0.0,M
P486,"Jar, 2500cc White HDPE 110-400",1019.63,M
PC056,53cc Natural Scoop with Long Handle,105.0,M
PC176,"Cap, 110mm White PP HI Seal Vented",245.0,M
PB111,18.125 X 10.625 X 13.375 RSC SHIPPER,0.957,ea
CPG4147-20,"Gusset, Ageless Multi-Collagen Fruit Pun...",0.0,M
PC682,"Scoop, 23cc Natural Long Handle",100.0,M
PB348,"Box, 17 5/8 x 11 5/8 x 5 1/2 (PRINT ID B...",1.36,EA
VS-4132L,"Label, VThrive Liposomal Curcumin from T...",134.55,M
PC466,"Cap, 45mm Silver SM Debossed LPH",120.86,M
PC478,"Bottle, 300cc Light Amber PET 45/400",287.743,M
BT075VS,"Bottle, 75cc White HDPE 33/400",121.32,M
P704,"Bottle, 75cc White HDPE SL 33/400",121.32,M
PC630,"Bottle, 150cc white packer 38-400",174.0,M
P069-FL,"Bottle, 150cc White HDPE 38-400",146.58,M
PC789-FL,"Bottle, BOT03 100cc White HDPE 38-400",90.2,M
P069,"Bottle, 150CC White HDPE 38-400",146.58,M
P460-A-FL,"Bottle, 175cc White HDPE 38-400 Rev: ...",182.48,M
PWF10-FL,"Bottle, 225cc White HDPE 45-400",149.82,M
PC193,"Bottle, 950cc White HDPE 53-400",713.05,M
PC785-FL,"Cap, CAP01 White 33-400 Rib Peel Seal",52.92,M
PC689,"Cap, 33-400 White, Smooth/Smooth, Vented...",83.0,M
PC745,"Cap, White 38-400 Peel-Seal CRC",89.5,M
PC745-FL,"Cap, White 38-400 Peel-Seal CRC Rev: CA...",79.08,M
PC800,"Cap, 38mm White CRC 38-400",60.0,M
PC810-FL,"Cap, 38-400 White Ribbed w/LPE Liner (li...",77.0,M
PC693,"Cap, 38-400 White Smooth, Lift n Peel, V...",65.0,M
CP45-VSLOGO,"Cap,45/400 White VS Logo",89.51,M
CP53-VSLOGO,"Cap, 53/400 White VS Logo",,
